,Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type,match_score
0,milk,"milk, nfs",-0.8038877622789343,-0.7087191451062733,-0.8027867663309524,-0.756656900553733,-1.161451261567939,4,1,0.5569864670574954
1,milk,"milk, whole",-0.8128939682932805,-0.7154737375691539,-0.6570861890188456,-0.756656900553733,-1.088392989666525,4,1,0.526474634777962
2,milk,"milk, low sodium, whole",-0.8223504846083438,-0.7357375149577957,-0.6257786269517814,-0.756656900553733,-1.0826076645819458,4,1,0.517147212481716
3,milk,"milk, calcium fortified, whole",-0.8128939682932805,-0.7154737375691539,-0.6570861890188456,-0.756656900553733,-1.088392989666525,4,1,0.526474634777962
4,milk,"milk, calcium fortified, low fat (1%)",-0.7894778326559807,-0.7042160834643528,-0.9280170145992092,-0.756656900553733,-1.2201945624267414,4,1,0.5825459467119983
5,milk,"milk, calcium fortified, fat free (skim)",-0.8047883828803691,-0.7019645526433926,-1.0207355637978226,-0.756656900553733,-1.2810888174836566,4,1,0.6029934607616738
6,milk,"milk, reduced fat (2%)",-0.8020865210760652,-0.7075933796957932,-0.8136239993541668,-0.756656900553733,-1.1659756824674177,4,1,0.5592896471830215
7,milk,"milk, acidophilus, low fat (1%)",-0.7894778326559807,-0.7042160834643528,-0.9280170145992092,-0.756656900553733,-1.2201945624267414,4,1,0.5825459467119983
8,milk,"milk, acidophilus, reduced fat (2%)",-0.8020865210760652,-0.7075933796957932,-0.8136239993541668,-0.756656900553733,-1.1659756824674177,4,1,0.5592896471830215
9,milk,"milk, low fat (1%)",-0.7894778326559807,-0.7042160834643528,-0.9280170145992092,-0.756656900553733,-1.2201945624267414,4,1,0.5825459467119983
10,milk,"milk, fat free (skim)",-0.8029871416774997,-0.6985872564119524,-1.0327769338236166,-0.756656900553733,-1.2856874092175528,4,1,0.6059349846852206
11,milk,"milk, lactose free, low fat (1%)",-0.7894778326559807,-0.7042160834643528,-0.9280170145992092,-0.756656900553733,-1.2201945624267414,4,1,0.5825459467119983
12,milk,"milk, lactose free, fat free (skim)",-0.8029871416774997,-0.6985872564119524,-1.0327769338236166,-0.756656900553733,-1.2856874092175528,4,1,0.6059349846852206
13,milk,"milk, lactose free, reduced fat (2%)",-0.8020865210760652,-0.7075933796957932,-0.8136239993541668,-0.756656900553733,-1.1659756824674177,4,1,0.5592896471830215
14,milk,"milk, lactose free, whole",-0.8128939682932805,-0.7154737375691539,-0.6570861890188456,-0.756656900553733,-1.088392989666525,4,1,0.526474634777962
15,milk,"milk, dry, reconstituted, ns as to fat content",-0.8160461403983017,-0.7244798608529947,-1.033981070826196,-0.756656900553733,-1.301782480286189,4,1,0.6025465914542627
16,milk,"milk, dry, reconstituted, whole",-0.7593070425079215,-0.6332928626041066,-0.551122132791859,-0.756656900553733,-0.9726864879749444,4,1,0.5154455511677652
17,milk,"milk, dry, reconstituted, low fat (1%)",-0.8182976919018881,-0.727857157084435,-0.920792192583733,-0.756656900553733,-1.241407421070198,4,1,0.5788552945500061
18,milk,"milk, dry, reconstituted, fat free (skim)",-0.8160461403983017,-0.7244798608529947,-1.033981070826196,-0.756656900553733,-1.301782480286189,4,1,0.6025465914542627
19,milk,"milk, evaporated, ns as to fat content",-0.5710773368080887,-0.3180785476696786,-0.1320824558942299,-0.756656900553733,-0.5332984648846104,1,1,0.3387035133164815
20,milk,"milk, evaporated, whole",-0.5710773368080887,-0.3180785476696786,-0.1320824558942299,-0.756656900553733,-0.5332984648846104,1,1,0.3387035133164815
21,milk,"milk, evaporated, reduced fat (2%)",-0.521092893428468,-0.2494068576303925,-0.8063991773386905,-0.756656900553733,-0.8560899362703522,4,1,0.6188546536740737
22,milk,"milk, evaporated, fat free (skim)",-0.512086687414122,-0.2347719072941512,-1.018327289792664,-0.756656900553733,-0.9637859878448228,4,1,0.664340465766865
23,milk,"milk, condensed, sweetened",1.4264991571738683,-0.1942443525168675,0.0051891623998209,-0.756656900553733,0.8915232642790157,1,1,0.7648236133170245
24,yogurt,"yogurt, nfs",-0.7061704270232797,-0.4936979517045741,-0.8557687944444456,-0.756656900553733,-1.0697761102276873,4,1,0.5987704948208341
25,yogurt,"yogurt, greek, ns as to type of milk or flavor",-0.8457666202456435,0.0354117912210727,-0.8112157253490081,-0.756656900553733,-0.9976078883392848,4,1,0.6906926608528076
26,yogurt,"yogurt, ns as to type of milk or flavor",-0.7061704270232797,-0.4936979517045741,-0.8557687944444456,-0.756656900553733,-1.0697761102276873,4,1,0.5987704948208341
27,yogurt,"yogurt, ns as to type of milk, plain",-0.7061704270232797,-0.4936979517045741,-0.8557687944444456,-0.756656900553733,-1.0697761102276873,4,1,0.5987704948208341
28,yogurt,"yogurt, whole milk, plain",-0.8133442785939978,-0.6940841947700319,-0.6510655040059486,-0.756656900553733,-1.0797150020396562,4,1,0.5289816418231649
29,yogurt,"yogurt, low fat milk, plain",-0.7061704270232797,-0.4936979517045741,-0.8557687944444456,-0.756656900553733,-1.0697761102276873,4,1,0.5987704948208341
30,yogurt,"yogurt, nonfat milk, plain",-0.6773505677773722,-0.4396612120015293,-1.0207355637978226,-0.756656900553733,-1.128000215245566,4,1,0.6401452686662374
31,yogurt,"yogurt, greek, ns as to type of milk, plain",-0.8457666202456435,0.0354117912210727,-0.8112157253490081,-0.756656900553733,-0.9976078883392848,4,1,0.6906926608528076
32,yogurt,"yogurt, greek, whole milk, plain",-0.8439653790427744,-0.0715359227745366,-0.4403415285545547,-0.756656900553733,-0.8190045190615124,4,1,0.5958116516067404
33,yogurt,"yogurt, greek, low fat milk, plain",-0.8457666202456435,0.0354117912210727,-0.8112157253490081,-0.756656900553733,-0.9976078883392848,4,1,0.6906926608528076
34,yogurt,"yogurt, greek, nonfat milk, plain",-0.8592759292671627,0.0748135805878763,-0.9978569607488142,-0.756656900553733,-1.0995927856635943,4,1,0.7367676937685702
35,yogurt,"yogurt, ns as to type of milk, fruit",-0.3720401838910406,-0.5601181109229001,-0.8774432604908747,-0.7116342611841894,-0.8791570657742506,4,1,0.5719268604072668
36,yogurt,"yogurt, whole milk, fruit",-0.4666053470416743,-0.7357375149577957,-0.6968227101039657,-0.7116342611841894,-0.887612540897866,4,1,0.5105554445546128
37,yogurt,"yogurt, low fat milk, fruit",-0.3720401838910406,-0.5601181109229001,-0.8774432604908747,-0.7116342611841894,-0.8791570657742506,4,1,0.5719268604072668
38,yogurt,"yogurt, nonfat milk, fruit",-0.3468228070508716,-0.5117101982722557,-1.021939700800402,-0.7116342611841894,-0.9298899165159434,4,1,0.608356194057994
39,yogurt,"yogurt, greek, ns as to type of milk, fruit",-0.4697575191466954,-0.164974451844385,-0.7329468201813475,-0.3064305068582971,-0.7592969973552802,4,1,0.6375553070509383
40,yogurt,"yogurt, greek, whole milk, fruit",-0.4697575191466954,-0.2595387463247133,-0.6811689290704336,-0.756656900553733,-0.7555142847999786,4,1,0.5879861735479336
41,yogurt,"yogurt, greek, low fat milk, fruit",-0.4697575191466954,-0.164974451844385,-0.7329468201813475,-0.3064305068582971,-0.7592969973552802,4,1,0.6375553070509383
42,yogurt,"yogurt, greek, nonfat milk, fruit",-0.4738103118531512,-0.177357871359666,-1.0243479748055608,-0.4865210643364715,-0.926774741470401,4,1,0.6865320428791175
43,yogurt,"yogurt, ns as to type of milk, flavors other than fruit",-0.5809841634238693,-0.5117101982722557,-0.8605853424547633,-0.756656900553733,-0.9947152257969956,4,1,0.5883844392657762
44,yogurt,"yogurt, whole milk, flavors other than fruit",-0.5994468857532788,-0.7132222067481937,-0.6691275590446396,-0.756656900553733,-0.953847096032854,4,1,0.515276557082656
45,yogurt,"yogurt, low fat milk, flavors other than fruit",-0.5809841634238693,-0.5117101982722557,-0.8605853424547633,-0.756656900553733,-0.9947152257969956,4,1,0.5883844392657762
46,yogurt,"yogurt, nonfat milk, flavors other than fruit",-0.5530649247793965,-0.4587992239796911,-1.0207355637978226,-0.756656900553733,-1.0511592307888495,4,1,0.6286335678249334
47,yogurt,"yogurt, greek, ns as to type of milk, flavors other than fruit",-0.5935928518439538,-0.1120634775518202,-0.7413757791994032,-0.756656900553733,-0.8316135609125179,4,1,0.6341221824331116
48,yogurt,"yogurt, greek, whole milk, flavors other than fruit",-0.6021487475575826,-0.1312014895299819,-0.5077732006990008,-0.756656900553733,-0.7127918841753952,4,1,0.5833720255887066
49,yogurt,"yogurt, greek, low fat milk, flavors other than fruit",-0.5935928518439538,-0.1120634775518202,-0.7413757791994032,-0.756656900553733,-0.8316135609125179,4,1,0.6341221824331116
50,yogurt,"yogurt, greek, nonfat milk, flavors other than fruit",-0.5562170968844177,-0.1120634775518202,-1.0207355637978226,-0.5315437037060151,-0.9618575461499634,4,1,0.7003062084890049
51,yogurt,"yogurt, greek, with oats",-0.0153944257229365,-0.0827935768793376,-0.5258352557376917,0.0987732474675951,-0.3234691743169945,1,1,0.5130222598523029
52,yogurt,"yogurt, liquid",-0.491372413581126,-0.6670658249185095,-0.9111590965630978,-0.7116342611841894,-1.0046541176089645,4,1,0.5681443982024498
53,yogurt,"yogurt, whole milk, baby food",-0.8133442785939978,-0.6940841947700319,-0.6510655040059486,-0.756656900553733,-1.0797150020396562,4,1,0.5289816418231649
54,yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",-0.4278786611799862,-0.7019645526433926,-0.6173496679337257,-0.6215889824451022,-0.809139798083961,4,1,0.5020440703475213
55,yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",-0.4377854877957669,-0.7413663420101961,-0.6715358330497984,-0.4865210643364715,-0.8560899362703522,4,1,0.5137400469656421
56,yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",-0.4278786611799862,-0.7019645526433926,-0.6173496679337257,-0.6215889824451022,-0.809139798083961,4,1,0.5020440703475213
57,chocolate milk,"chocolate milk, nfs",-0.4170712139627709,-0.7030903180538727,-1.0424100298442518,-0.756656900553733,-1.0379568222625026,4,1,0.5817062780644269
58,chocolate milk,"chocolate milk, ready to drink, whole",-0.5575680277865696,-0.727857157084435,-0.6342075859698371,-0.3964757855973843,-0.910753841236182,4,1,0.5208113013223375
59,chocolate milk,"chocolate milk, ready to drink, reduced fat",-0.4769624839581722,-0.7481209344730767,-0.8136239993541668,-0.4414984249669279,-0.9624509128253048,4,1,0.5465895830426938
60,chocolate milk,"chocolate milk, ready to drink, fat free",-0.4170712139627709,-0.7030903180538727,-1.0424100298442518,-0.756656900553733,-1.0379568222625026,4,1,0.5817062780644269
61,chocolate milk,"chocolate milk, ready to drink, low fat",-0.5661239235001984,-0.6952099601805121,-0.9087508225579388,-0.7116342611841894,-1.0599855600845538,4,1,0.5676874742968343
62,chocolate milk,"chocolate milk, ready to drink, reduced sugar, ns as to milk",-0.6773505677773722,-0.6985872564119524,-0.9171797815759948,-0.756656900553733,-1.138829157070547,4,1,0.5739095866333768
63,chocolate milk,"chocolate milk, ready to drink, low fat (nesquik)",-0.5661239235001984,-0.6952099601805121,-0.9087508225579388,-0.7116342611841894,-1.0599855600845538,4,1,0.5676874742968343
64,chocolate milk,"chocolate milk, ready to drink, fat free (nesquik)",-0.4170712139627709,-0.7030903180538727,-1.0424100298442518,-0.756656900553733,-1.0379568222625026,4,1,0.5817062780644269
65,chocolate milk,"chocolate milk, ready to drink, low fat, no sugar added (nesquik)",-0.5661239235001984,-0.6952099601805121,-0.9087508225579388,-0.7116342611841894,-1.0599855600845538,4,1,0.5676874742968343
66,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink",-0.2783756413418416,-0.7785166005560393,-0.856972931447025,-0.756656900553733,-0.8636553613809554,4,1,0.5213753107162548
67,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with nonfat milk",-0.2792762619432762,-0.7706362426826787,-1.035185207828775,-0.756656900553733,-0.9609674961369512,4,1,0.559414437223789
68,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with non-dairy milk",-0.2720712971317993,-0.9485071775385344,-0.9244046035914713,-0.6666116218146458,-0.9416830791883546,4,1,0.5097969818591169
69,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, with whipped cream",-0.3076458108884662,-0.7773908351455593,-0.6594944630240045,-0.756656900553733,-0.7731669433913864,4,1,0.4829298517359408
70,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",-0.3085464314899009,-0.7706362426826787,-0.8292777803876991,-0.756656900553733,-0.866102998916739,4,1,0.5190418733856064
71,hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with non-dairy milk and whipped cream",-0.3017917769791413,-0.939501054254694,-0.7245178611632916,-0.6666116218146458,-0.8480794861532428,4,1,0.4722548358481469
72,chocolate milk,"chocolate milk, made from dry mix, ns as to type of milk",-0.5670245441016329,-0.7008387872329125,-0.8003784923257936,-0.6215889824451022,-1.001983967569928,4,1,0.5490079640370242
73,chocolate milk,"chocolate milk, made from dry mix with whole milk",-0.5755804398152617,-0.7064676142853131,-0.664311011034322,-0.6215889824451022,-0.9336726290712452,4,1,0.5206409425829551
74,chocolate milk,"chocolate milk, made from dry mix with reduced fat milk",-0.5656736131994811,-0.6997130218224324,-0.8112157253490081,-0.6215889824451022,-1.0068050718070771,4,1,0.5513408124963173
75,chocolate milk,"chocolate milk, made from dry mix with low fat milk",-0.5535152350801138,-0.6963357255909921,-0.9183839185785742,-0.6215889824451022,-1.057315410045517,4,1,0.5731425345508843
